存货编号,规格型号,期末
336.0,EKDE20-20-P10.4-W4.4,1.0
337.0,EKDE20-20-P10.4-W8.4,1.0
338.0,EKDE20-20-P12.26-W7.16,1.0
339.0,EKDE20-25-P10.13-W8.13,1.0
340.0,EKDE20-25-P10.27-W8.12,1.0
341.0,EKDE20-25-P10.5-W8.2,1.0
342.0,EKDE22-16-P12.3-W11.0,1.0
343.0,EKDE22-20-P12.25-W7.25,2.0
344.0,EKDE22-20-P12.26-W7.21,1.0
345.0,EKDE22-20-P12.36-W10.16,1.0
346.0,EKDE22-20-P12.36-W8.06,1.0
347.0,EKDE22-20-P12.49-W7.24,1.0
348.0,EKDE22-20-P13.4-W7.9,1.0
349.0,EKDE22-22-P10.1-W8.1,1.0
350.0,EKDE22-25-P10.17-W8.17,2.0
351.0,EKDE22-25-P10.27-W8.12,1.0
352.0,EKDE22-25-P10.27-W8.12,1.0
353.0,EKDE22-25-P12.94-W11.19,1.0
354.0,EKDE22-30-P12.0-W6.61,1.0
355.0,EKDE22-30-P12.10-W6.66,2.0
356.0,EKDE22-30-P12.1-W6.66,1.0
357.0,EKDE22-30-P12.1-W6.66,2.0
358.0,EKDE22-30-P12.2-W7.1,1.0
359.0,EKDE22-30-P12.38-W7.23,1.0
360.0,EKDE22-30-P12.38-W7.23,3.0
361.0,EKDE22-30-P12.38-W7.23,3.0
362.0,EKDE22-30-P12.38-W8.16,1.0
363.0,EKDE22-30-P12.38-W8.16,2.0
364.0,EKDE22-30-P12.38-W8.16,2.0
365.0,EKDE22-30-P12.3-W7.1,1.0
366.0,EKDE25-20-P14.06-W10.06,1.0
367.0,EKDE25-20-P15.07-W10.07,1.0
368.0,EKDE25-25-P13.94-W9.24,1.0
369.0,EKDE32-25-P18.24-W16.24,2.0
370.0,EKDE45-25-P30.24-W15.24,2.0
371.0,EKDR13-20-P6.1-W5.1-R0.5,3.0
372.0,EKDR13-20-P6.1-W5.4-R0.5,1.0
